id,conversation_session_id,concerned_user_id,conversant,satisfaction_score,created_at,updated_at
1,1,951,HUMAN,,2025-02-23T22:06:49,2025-02-23T22:06:49
2,1,951,AI,,2025-02-23T22:07:49.055556,2025-02-23T22:07:49.055556
3,1,951,HUMAN,,2025-02-23T22:08:49.111111,2025-02-23T22:08:49.111111
4,1,951,AI,,2025-02-23T22:09:49.166667,2025-02-23T22:09:49.166667
5,1,951,HUMAN,,2025-02-23T22:10:49.222222,2025-02-23T22:10:49.222222
6,1,951,AI,,2025-02-23T22:11:49.277778,2025-02-23T22:11:49.277778
7,1,951,HUMAN,,2025-02-23T22:12:49.333333,2025-02-23T22:12:49.333333
8,1,951,AI,,2025-02-23T22:13:49.388889,2025-02-23T22:13:49.388889
9,1,951,HUMAN,,2025-02-23T22:14:49.444444,2025-02-23T22:14:49.444444
10,1,951,AI,,2025-02-23T22:15:49.500000,2025-02-23T22:15:49.500000
11,1,951,HUMAN,,2025-02-23T22:16:49.555556,2025-02-23T22:16:49.555556
12,1,951,AI,,2025-02-23T22:17:49.611111,2025-02-23T22:17:49.611111
13,1,951,HUMAN,,2025-02-23T22:18:49.666667,2025-02-23T22:18:49.666667
14,1,951,AI,,2025-02-23T22:19:49.722222,2025-02-23T22:19:49.722222
15,1,951,HUMAN,,2025-02-23T22:20:49.777778,2025-02-23T22:20:49.777778
16,1,951,AI,,2025-02-23T22:21:49.833333,2025-02-23T22:21:49.833333
17,1,951,HUMAN,,2025-02-23T22:22:49.888889,2025-02-23T22:22:49.888889
18,1,951,AI,,2025-02-23T22:23:49.944444,2025-02-23T22:23:49.944444
19,2,224,HUMAN,,2024-07-20T04:02:24,2024-07-20T04:02:24
20,2,224,AI,,2024-07-20T04:03:17.666667,2024-07-20T04:03:17.666667
21,2,224,HUMAN,,2024-07-20T04:04:11.333333,2024-07-20T04:04:11.333333
22,2,224,AI,,2024-07-20T04:05:05,2024-07-20T04:05:05
23,2,224,HUMAN,,2024-07-20T04:05:58.666667,2024-07-20T04:05:58.666667
24,2,224,AI,,2024-07-20T04:06:52.333333,2024-07-20T04:06:52.333333
25,2,224,HUMAN,,2024-07-20T04:07:46,2024-07-20T04:07:46
26,2,224,AI,,2024-07-20T04:08:39.666667,2024-07-20T04:08:39.666667
27,2,224,HUMAN,,2024-07-20T04:09:33.333333,2024-07-20T04:09:33.333333
28,2,224,AI,,2024-07-20T04:10:27,2024-07-20T04:10:27
29,2,224,HUMAN,,2024-07-20T04:11:20.666667,2024-07-20T04:11:20.666667
30,2,224,AI,,2024-07-20T04:12:14.333333,2024-07-20T04:12:14.333333
31,3,36,HUMAN,,2024-01-15T13:48:03,2024-01-15T13:48:03
32,3,36,AI,,2024-01-15T13:53:26.666667,2024-01-15T13:53:26.666667
33,3,36,HUMAN,3.9,2024-01-15T13:58:50.333333,2024-01-15T13:58:50.333333
34,4,153,HUMAN,,2025-05-31T05:09:02,2025-05-31T05:09:02
35,4,153,AI,,2025-05-31T05:09:35.066667,2025-05-31T05:09:35.066667
36,4,153,HUMAN,,2025-05-31T05:10:08.133333,2025-05-31T05:10:08.133333
37,4,153,AI,,2025-05-31T05:10:41.200000,2025-05-31T05:10:41.200000
38,4,153,HUMAN,,2025-05-31T05:11:14.266667,2025-05-31T05:11:14.266667
39,4,153,AI,,2025-05-31T05:11:47.333333,2025-05-31T05:11:47.333333
40,4,153,HUMAN,,2025-05-31T05:12:20.400000,2025-05-31T05:12:20.400000
41,4,153,AI,,2025-05-31T05:12:53.466667,2025-05-31T05:12:53.466667
42,4,153,HUMAN,,2025-05-31T05:13:26.533333,2025-05-31T05:13:26.533333
43,4,153,AI,,2025-05-31T05:13:59.600000,2025-05-31T05:13:59.600000
44,4,153,HUMAN,,2025-05-31T05:14:32.666667,2025-05-31T05:14:32.666667
45,4,153,AI,,2025-05-31T05:15:05.733333,2025-05-31T05:15:05.733333
46,4,153,HUMAN,,2025-05-31T05:15:38.800000,2025-05-31T05:15:38.800000
47,4,153,AI,,2025-05-31T05:16:11.866667,2025-05-31T05:16:11.866667
48,4,153,HUMAN,4.9,2025-05-31T05:16:44.933333,2025-05-31T05:16:44.933333
49,5,273,HUMAN,,2025-01-16T02:55:40,2025-01-16T02:55:40
50,5,273,AI,,2025-01-16T02:56:37.812500,2025-01-16T02:56:37.812500
51,5,273,HUMAN,,2025-01-16T02:57:35.625000,2025-01-16T02:57:35.625000
52,5,273,AI,,2025-01-16T02:58:33.437500,2025-01-16T02:58:33.437500
53,5,273,HUMAN,,2025-01-16T02:59:31.250000,2025-01-16T02:59:31.250000
54,5,273,AI,,2025-01-16T03:00:29.062500,2025-01-16T03:00:29.062500
55,5,273,HUMAN,,2025-01-16T03:01:26.875000,2025-01-16T03:01:26.875000
56,5,273,AI,,2025-01-16T03:02:24.687500,2025-01-16T03:02:24.687500
57,5,273,HUMAN,,2025-01-16T03:03:22.500000,2025-01-16T03:03:22.500000
58,5,273,AI,,2025-01-16T03:04:20.312500,2025-01-16T03:04:20.312500
59,5,273,HUMAN,,2025-01-16T03:05:18.125000,2025-01-16T03:05:18.125000
60,5,273,AI,,2025-01-16T03:06:15.937500,2025-01-16T03:06:15.937500
61,5,273,HUMAN,,2025-01-16T03:07:13.750000,2025-01-16T03:07:13.750000
62,5,273,AI,,2025-01-16T03:08:11.562500,2025-01-16T03:08:11.562500
63,5,273,HUMAN,,2025-01-16T03:09:09.375000,2025-01-16T03:09:09.375000
64,5,273,AI,,2025-01-16T03:10:07.187500,2025-01-16T03:10:07.187500
65,6,447,HUMAN,,2025-02-23T12:43:44,2025-02-23T12:43:44
66,6,447,AI,,2025-02-23T12:44:37.187500,2025-02-23T12:44:37.187500
67,6,447,HUMAN,,2025-02-23T12:45:30.375000,2025-02-23T12:45:30.375000
68,6,447,AI,,2025-02-23T12:46:23.562500,2025-02-23T12:46:23.562500
69,6,447,HUMAN,,2025-02-23T12:47:16.750000,2025-02-23T12:47:16.750000
70,6,447,AI,,2025-02-23T12:48:09.937500,2025-02-23T12:48:09.937500
71,6,447,HUMAN,,2025-02-23T12:49:03.125000,2025-02-23T12:49:03.125000
72,6,447,AI,,2025-02-23T12:49:56.312500,2025-02-23T12:49:56.312500
