id,user_id,device_id,platform,locale,timezone,last_seen_at,created_at,updated_at
1,1,device_1_7622,android,ja,America/Vancouver,2025-05-30T09:49:16,2025-05-11T15:46:46,2025-05-11T15:46:46
2,2,device_2_4073,ios,zh,Asia/Tokyo,2024-05-08T13:47:55,2024-03-27T11:21:41,2024-03-27T11:21:41
3,3,device_3_4335,android,zh,Asia/Tokyo,2024-02-29T12:20:50,2024-01-20T10:14:03,2024-01-20T10:14:03
4,4,device_4_8941,android,ko,Asia/Seoul,2025-01-18T18:27:21,2024-08-01T14:55:05,2024-08-01T14:55:05
5,5,device_5_3594,ios,en,America/Toronto,2025-04-10T20:46:13,2024-07-09T05:06:54,2024-07-09T05:06:54
6,6,device_6_4681,android,en,Asia/Tokyo,2024-07-28T13:43:20,2024-06-22T08:56:59,2024-06-22T08:56:59
7,7,device_7_9165,ios,zh,America/Vancouver,2024-08-15T23:24:18,2024-04-18T09:10:31,2024-04-18T09:10:31
8,8,device_8_8736,android,ja,Asia/Tokyo,2025-03-30T09:05:32,2024-03-20T14:38:54,2024-03-20T14:38:54
9,9,device_9_4122,ios,zh,America/Toronto,2025-04-05T20:11:20,2025-02-27T14:22:08,2025-02-27T14:22:08
10,10,device_10_6568,ios,en,Asia/Seoul,2025-01-24T19:44:40,2024-03-08T12:39:26,2024-03-08T12:39:26
11,11,device_11_9022,android,en,Asia/Seoul,2025-05-02T15:15:48,2025-04-03T15:34:41,2025-04-03T15:34:41
12,12,device_12_6446,ios,zh,Asia/Tokyo,2025-01-29T17:35:12,2024-11-23T17:11:34,2024-11-23T17:11:34
13,13,device_13_4912,android,zh,Asia/Seoul,2024-06-20T05:12:25,2024-01-25T16:28:19,2024-01-25T16:28:19
14,14,device_14_6213,android,ko,Asia/Tokyo,2024-02-27T01:06:17,2024-01-24T03:27:37,2024-01-24T03:27:37
15,15,device_15_9115,android,zh,Asia/Tokyo,2024-07-09T22:03:16,2024-03-13T18:36:21,2024-03-13T18:36:21
16,16,device_16_2644,ios,ko,Asia/Seoul,2025-05-22T13:54:06,2024-06-18T19:42:26,2024-06-18T19:42:26
17,17,device_17_3361,android,en,Asia/Tokyo,2024-07-05T16:09:47,2024-06-29T17:06:48,2024-06-29T17:06:48
18,18,device_18_5342,android,ko,America/Vancouver,2025-04-28T16:29:24,2025-01-27T12:30:19,2025-01-27T12:30:19
19,19,device_19_9742,android,zh,America/Vancouver,2025-05-14T12:03:20,2025-04-12T14:26:33,2025-04-12T14:26:33
20,20,device_20_1588,android,ja,Asia/Tokyo,2025-03-16T19:56:08,2024-01-21T14:39:58,2024-01-21T14:39:58
